abbreviation,genus_species,common_name,sra_num,ingroup_correlate,ingroup_ref_genbank,gb_data,coverage,num_runs,sra_runs,,,,,
CorFru_1,corvus_frugilegus,rook,SRX581055,hooded_crow,GCF_000738735.1,13.1,,5,SRR1368309,SRR1368322,SRR1368329,SRR1368330,SRR1368331,
CorFru_2,corvus_frugilegus,rook,SRX581052,hooded_crow,GCF_000738735.1,12.3,,1,SRR1368293,,,,,
CorBra_1,corvus_brachyrhynchos,american_crow,SRX535391,hooded_crow,GCF_000738735.1,2.6,,1,SRR1284298,,,,,
CorBra_2,corvus_brachyrhynchos,american_crow,SRX542252,hooded_crow,GCF_000738735.1,23.7,,5,SRR1286110,SRR1286111,SRR1286112,SRR1286113,SRR1286115,
CorBra_3,corvus_brachyrhynchos,american_crow,SRX542255,hooded_crow,GCF_000738735.1,28.4,,5,SRR1286117,SRR1286118,SRR1286119,SRR1286121,SRR1286122,
CorBra_4,corvus_brachyrhynchos,american_crow,SRX542257,hooded_crow,GCF_000738735.1,26.5,,6,SRR1286123,SRR1286124,SRR1286125,SRR1286126,SRR1286127,SRR1286128
CorBra_5,corvus_brachyrhynchos,american_crow,SRX542259,hooded_crow,GCF_000738735.1,24.4,,5,SRR1286130,SRR1286131,SRR1286132,SRR1286134,SRR1286135,
CorBra_6,corvus_brachyrhynchos,american_crow,SRX542262,hooded_crow,GCF_000738735.1,11.8,,4,SRR1286137,SRR1286138,SRR1286139,SRR1286140,,
CorBra_7,corvus_brachyrhynchos,american_crow,SRX542247,hooded_crow,GCF_000738735.1,23.5,,4,SRR1289962,SRR1289965,SRR1289975,SRR1289976,,
CorMon_1,corvus_monedula,western_jackdaw,SRX581042,hooded_crow,GCF_000738735.1,13.9,,1,SRR1361905,,,,,
CorMon_2,corvus_monedula,western_jackdaw,SRX581043,hooded_crow,GCF_000738735.1,14,,1,SRR1361906,,,,,
FicPar,ficedula_parva,red-breasted_flycatcher,ERX644889,collared_flycatcher,GCF_000247815.1,,13.5,1,ERR700626,,,,,
FicHyp,ficedula_hyperythra,snowy-browed_flycatcher,ERX644907,collared_flycatcher,GCF_000247815.1,,7.8,1,ERR700644,,,,,
SeiNov,seiurus_noveboracensis,northern_waterthrush,NA,golden_winged_warbler,GCA_001746935.1,,,2,OurData,,,,,
ParCya,parus_cyanus,azure_tit,NA,great_tit,GCF_001522545.1,,,2,OurData,,,,,
PinEnu,pinicola_enucleator,pine_grosbeak,NA,house_finch,NA,,,2,OurData,,,,,
UraSib,uragus_sibricus,long-tailed_rosefinch,NA,hosue_finch,NA,,,2,OurData,,,,,
CarEry,carpodacus_erythrinus,common_rosefinch,NA,hosue_finch,NA,,,2,OurData,,,,,
