Species,Reference Genome,Challenge,Publication,BioProject,BioSample,Experiment,Run,SRA_Sample,donor_identifier,source_name,treatment,cell_type,time_point,sex,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163671,SRX185640,SRR566221,SRS361823,1,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163671,SRX185640,SRR566222,SRS361823,1,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163672,SRX185641,SRR566223,SRS361824,1,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163672,SRX185641,SRR566224,SRS361824,1,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163673,SRX185642,SRR566225,SRS361825,2,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163673,SRX185642,SRR566226,SRS361825,2,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163674,SRX185643,SRR566227,SRS361826,2,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163674,SRX185643,SRR566228,SRS361826,2,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163675,SRX185644,SRR566229,SRS361827,3,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163675,SRX185644,SRR566230,SRS361827,3,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163676,SRX185645,SRR566231,SRS361828,3,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
